scorer,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000,DLC_resnet101_CVMar25shuffle1_229000
bodyparts,Head,Head,Head,Snout,Snout,Snout,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,Shoulder,Shoulder,Shoulder,Spine1,Spine1,Spine1,Spine2,Spine2,Spine2,Spine3,Spine3,Spine3,Spine4,Spine4,Spine4,TailBase,TailBase,TailBase,Tail1,Tail1,Tail1,Tail2,Tail2,Tail2,TailEnd,TailEnd,TailEnd,LeftPaw1,LeftPaw1,LeftPaw1,RightPaw1,RightPaw1,RightPaw1,LeftPaw2,LeftPaw2,LeftPaw2,RightPaw2,RightPaw2,RightPaw2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-0.16414117813110352,568.4170532226562,0.0003887757193297148,6.316869735717773,562.23974609375,0.0022220152895897627,1.1565132141113281,2.3807144165039062,0.0004175250942353159,-0.1380481719970703,573.1727294921875,0.0009173636790364981,-0.11769390106201172,0.8173487186431885,0.0002686974185053259,1.793473482131958,1.6858851909637451,0.0005159650463610888,1.0213074684143066,2.2882027626037598,0.0005608959472738206,-0.34861230850219727,-1.2209644317626953,0.00027689742273651063,-1.686150074005127,2.4026966094970703,0.0003518340236041695,0.3387274742126465,557.0447387695312,0.0002819318906404078,1.6969919204711914,0.5041015148162842,0.0002724162768572569,0.928973913192749,2.93528413772583,0.0002923182910308242,6.320797443389893,557.6858520507812,0.0012247978011146188,-0.052509307861328125,558.1614990234375,0.0003444749745540321,2.696449041366577,558.7450561523438,0.00032658703275956213,2.097546100616455,-0.315274715423584,6.510038656415418e-05,6.294212341308594,0.49156832695007324,0.00022642228577751666
1,,,0.0002692695998121053,0.0,0.0,0.00024618496536277235,,,0.00030455461819656193,,,0.00038536402280442417,,,0.0002116299292538315,,,0.0003443198511376977,0.0,0.0,0.00041725713526830077,,,0.0002469038008712232,,,0.0002606554771773517,,,0.00010460301564307883,,,0.00015620666090399027,0.0,0.0,0.00029207926127128303,0.0,0.0,0.00016565766418352723,,,6.48968925816007e-05,,,8.036302460823208e-05,,,4.2798579670488834e-05,,,0.00010745484905783087
2,,,0.0003184306260664016,0.0,0.0,0.0007252160576172173,,,0.0005086045130155981,,,0.0005282643251121044,,,0.0002707162348087877,,,0.00045199389569461346,0.0,0.0,0.0006910741212777793,,,0.00040181874646805227,,,0.0004702175792772323,,,0.00014700500469189137,,,0.0002566834446042776,0.0,0.0,0.00041749022784642875,0.0,0.0,0.0009543047635816038,,,7.099461799953133e-05,,,0.00016091011639218777,,,6.684663094347343e-05,,,0.00018449337221682072
3,,,0.0005193565739318728,0.0,0.0,0.013212336227297783,,,0.0003496487042866647,,,0.000596985628362745,,,0.00021071784431114793,,,0.00043996094609610736,0.0,0.0,0.000445451500127092,,,0.0003273691690992564,,,0.0003854279639199376,,,0.0009487298084422946,,,0.0008483219426125288,0.0,0.0,0.00040220425580628216,0.0,0.0,0.009606280364096165,,,0.0007830435642972589,,,0.0014954957878217101,,,0.00029561700648628175,,,0.0009468455682508647
4,,,0.00024769201991148293,3.879824856727177,503.9973403507732,0.003127769101411104,,,0.0003151050768792629,,,0.0005078880349174142,,,0.00017782175564207137,,,0.00027647509705275297,0.0,0.0,0.0003156180027872324,,,0.00020604707242455333,,,0.00019931441056542099,,,0.0002228389639640227,,,0.000562043918762356,0.0,0.0,0.00033366979914717376,0.0,0.0,0.0065168412402272224,,,0.0001469115522922948,,,0.0003255941264797002,,,0.00015238614287227392,,,0.00016913442232180387
5,,,0.00023745726502966136,3.877321549505606,503.93580248496005,0.0005623938050121069,,,0.0003153899742756039,,,0.0003810188209172338,,,0.00019098518532700837,,,0.00033720184001140296,0.0,0.0,0.0002777967310976237,,,0.00014436237688641995,,,0.00019174643966834992,,,0.0001233269285876304,,,0.0004717766132671386,0.0,0.0,0.0002610969531815499,0.0,0.0,0.0005109960329718888,,,8.118705591186881e-05,,,0.00013277617108542472,,,0.00011706046643666923,,,0.0002574451791588217
6,,,0.00028400003793649375,3.8731912571192213,503.8438383988152,0.0004904972738586366,,,0.0002887826121877879,,,0.0005554977105930448,,,0.00021978418226353824,,,0.0003449690993875265,0.0,0.0,0.00039556954288855195,,,0.0002714406873565167,,,0.00025371499941684306,,,0.00016394452541135252,,,0.0004680712299887091,0.0,0.0,0.00042821618262678385,0.0,0.0,0.00045020849211141467,,,0.0001099742585211061,,,0.00018969173834193498,,,0.00011446515418356284,,,0.00022383194300346076
7,,,0.00012028848868794739,3.8674402354051036,503.74486001409605,0.00034135865280404687,,,0.00020640752336475998,,,0.0003383124421816319,,,8.447816799161956e-05,,,0.00017436733469367027,0.0,0.0,0.00020215450786054134,,,0.00010744039173005149,,,8.870236342772841e-05,,,0.00016000831965357065,,,0.0001721311273286119,0.0,0.0,0.0002299930201843381,0.0,0.0,0.00013844907516613603,,,6.127957021817565e-05,,,0.00012853977386839688,,,5.237514051259495e-05,,,7.945085963001475e-05
